Humid,Temp,Condition
30.09,34.23,0
30.18,34.23,0
29.95,34.21,0
30.03,34.23,0
30.04,34.21,0
30.04,34.19,0
30.17,34.19,0
29.78,34.19,0
29.89,34.23,0
29.92,34.21,0
29.99,34.19,0
29.95,34.19,0
29.93,34.19,0
30.13,34.16,0
30.1,34.19,0
30.01,34.17,0
30.17,34.16,0
30.15,34.16,0
29.83,34.16,0
29.95,34.16,0
30.01,34.16,0
30.13,34.17,0
30.11,34.16,0
30.11,34.12,0
30.07,34.16,0
29.98,34.16,0
30.04,34.14,0
29.99,34.16,0
30.03,34.16,0
30.06,34.17,0
30.02,34.14,0
29.87,34.17,0
29.92,34.16,0
30.03,34.17,0
29.97,34.17,0
30.06,34.14,0
30.06,34.19,0
30.04,34.16,0
30.09,34.17,0
30.11,34.19,0
30.21,34.19,0
29.95,34.17,0
30.07,34.19,0
30.12,34.19,0
30.03,34.21,0
30.01,34.19,0
30.04,34.17,0
30.16,34.21,0
30.08,34.19,0
30.08,34.21,0
29.96,34.21,0
30.09,34.21,0
30.14,34.19,0
29.94,34.21,0
29.89,34.21,0
29.94,34.19,0
29.87,34.21,0
30.15,34.19,0
30.03,34.19,0
30.02,34.17,0
30.09,34.19,0
29.98,34.19,0
29.83,34.17,0
30.06,34.16,0
29.86,34.19,0
30.31,34.19,0
30.01,34.21,0
29.9,34.21,0
29.98,34.21,0
29.93,34.23,0
29.82,34.23,0
27.76,33.4,0
27.94,33.43,0
27.99,33.43,0
27.76,33.41,0
27.83,33.43,0
27.69,33.4,0
28.03,33.41,0
27.86,33.41,0
27.86,33.4,0
27.78,33.41,0
27.86,33.43,0
27.87,33.41,0
27.9,33.41,0
27.75,33.43,0
28.04,33.41,0
27.86,33.38,0
27.82,33.43,0
27.92,33.41,0
27.88,33.41,0
27.88,33.4,0
27.99,33.4,0
27.88,33.43,0
27.89,33.38,0
27.85,33.45,0
27.76,33.43,0
27.79,33.45,0
27.89,33.41,0
27.93,33.41,0
27.84,33.4,0
27.75,33.41,0
27.9,33.4,0
27.7,33.4,0
27.82,33.41,0
27.81,33.41,0
28.17,33.41,0
28.01,33.41,0
27.98,33.41,0
27.72,33.41,0
27.81,33.38,0
27.77,33.4,0
27.72,33.43,0
27.83,33.41,0
27.91,33.43,0
28,33.41,0
27.92,33.4,0
28.15,33.41,0
27.91,33.41,0
27.83,33.38,0
28.02,33.41,0
27.95,33.4,0
27.79,33.4,0
27.85,33.4,0
27.7,33.41,0
28.02,33.4,0
27.87,33.4,0
27.91,33.4,0
27.81,33.4,0
27.67,33.4,0
28.01,33.4,0
27.93,33.38,0
27.94,33.4,0
27.99,33.41,0
27.88,33.38,0
27.79,33.34,0
27.75,36.03,0
27.54,36.09,0
27.48,36.07,0
27.65,36.07,0
27.63,36.09,0
27.68,36.07,0
27.63,36.07,0
27.4,36.09,0
27.62,36.11,0
27.42,36.09,0
27.38,36.11,0
27.29,36.15,0
27.55,36.13,0
27.56,36.15,0
27.36,36.11,0
27.44,36.13,0
27.57,36.15,0
27.53,36.15,0
27.46,36.15,0
27.48,36.15,0
27.73,36.15,0
27.31,36.15,0
27.29,36.17,0
27.46,36.19,0
